name,expert_tier,ex1_run1,ex1_run2,ex1_run3,ex3_run1,ex3_run2,ex3_run3
test_paper_1,L1,L3,L3,L3,STAGED(L1 -> L2),STAGED(L1 -> L2),L1
test_paper_2,L1,L3,L3,L3,L1,L1,STAGED(L1 -> L2 -> L3)
test_paper_3,L1,L1,L1,L3,L1,L1,L1
test_paper_4,L1,L3,L3,L3,L1,L1,L1
test_paper_5,L1,L3,L3,L3,STAGED(L1 -> L2),STAGED(L1 -> L2),L1
test_paper_6,L2,L3,L3,L2,L2,STAGED(L2 -> L3),STAGED(L2 -> L3)
test_paper_7,L2,L3,L3,L3,STAGED(L1 -> L2),L2,STAGED(L2 -> L3)
test_paper_8,L2,L2,L3,L2,STAGED(L2 -> L3),L2,L2
test_paper_9,L2,L3,L3,L3,STAGED(L2 -> L3),L2,L2
test_paper_10,L2,L2,L3,L2,L2,L2,L2
test_paper_11,L3,L3,L3,L3,STAGED(L1 -> L2 -> L3),STAGED(L1 -> L2 -> L3),STAGED(L1 -> L3)
test_paper_12,L3,L3,L3,L3,STAGED(L2 -> L3),STAGED(L1 -> L2 -> L3),STAGED(L2 -> L3)
test_paper_13,L3,L3,L3,L3,STAGED(L2 -> L3),L3,L3
test_paper_14,L3,L3,L3,L3,STAGED(L1 -> L2 -> L3),STAGED(L1 -> L2 -> L3),STAGED(L1 -> L2 -> L3)
test_paper_15,L3,L3,L3,L3,L3,L3,L3
test_paper_16,OOS,OOS,OOS,OOS,OOS,OOS,OOS
test_paper_17,OOS,OOS,OOS,OOS,OOS,OOS,OOS
test_paper_18,OOS,OOS,OOS,OOS,OOS,OOS,OOS
test_paper_19,OOS,OOS,OOS,OOS,OOS,OOS,OOS
test_paper_20,OOS,L3,L3,L3,OOS,OOS,OOS
